2018-01-24__20:05:35 M  % %
2018-03-01__08:16:37 927M  7.5% 9.5%
2018-03-01__08:17:54 927M  7.4% 9.4%
2018-03-01__08:18:00 927M  7.5% 9.5%
2018-03-01__08:18:06 927M  7.4% 9.4%
2018-03-01__08:18:12 927M  7.5% 9.5%
2018-03-01__08:18:18 927M  7.4% 9.4%
2018-03-01__08:18:24 927M  7.4% 9.4%
2018-03-01__08:18:30 927M  7.4% 9.4%
2018-03-01__08:18:36 927M  7.4% 9.4%
2018-03-01__08:18:42 927M  7.4% 9.4%
2018-03-01__08:18:48 927M  7.4% 9.4%
2018-03-01__08:18:54 927M  7.4% 9.4%
2018-03-01__08:19:00 927M  7.4% 9.4%
2018-03-01__08:19:06 927M  7.5% 9.5%
2018-03-01__08:19:12 927M  7.4% 9.4%
2018-03-01__09:17:26 927M  7.5% 9.5%
2018-03-01__09:17:32 927M  7.4% 9.4%
2018-03-01__09:17:38 927M  7.6% 9.5%
2018-03-01__09:17:44 927M  7.5% 9.5%
2018-03-01__09:17:50 927M  7.5% 9.5%
2018-03-01__09:17:56 927M  7.6% 9.5%
2018-03-01__09:18:02 927M  7.4% 9.4%
2018-03-01__09:18:08 927M  7.8% 9.5%
2018-03-01__09:18:13 927M  7.9% 9.5%
2018-03-01__09:18:19 927M  8.0% 9.6%
2018-03-01__09:18:25 927M  8.1% 9.6%
2018-03-01__09:18:31 927M  8.1% 9.6%
2018-03-01__09:18:37 927M  8.1% 9.6%
2018-03-01__09:18:43 927M  8.1% 9.6%
2018-03-01__09:18:49 927M  8.1% 9.6%
2018-03-01__09:18:55 927M  8.3% 9.6%
2018-03-01__09:19:02 927M  8.1% 9.6%
2018-03-01__09:19:08 927M  8.0% 9.6%
2018-03-01__09:19:14 927M  8.1% 9.6%
2018-03-01__09:19:20 927M  8.1% 9.6%
2018-03-01__09:19:26 927M  8.0% 9.6%
2018-03-01__09:19:32 927M  8.3% 9.6%
2018-03-01__09:19:38 927M  8.1% 9.6%
2018-03-01__09:19:44 927M  8.1% 9.6%
2018-03-01__09:19:50 927M  8.1% 9.6%
2018-03-01__09:19:56 927M  8.1% 9.6%
2018-03-01__09:20:02 927M  8.3% 9.6%
2018-03-01__09:20:08 927M  8.5% 9.7%
2018-03-01__09:20:14 927M  8.5% 9.7%
2018-03-01__09:20:20 927M  8.5% 9.7%
2018-03-01__09:20:26 927M  8.1% 9.6%
2018-03-01__09:20:32 927M  8.3% 9.6%
2018-03-01__09:20:38 927M  8.1% 9.6%
2018-03-01__09:20:44 927M  8.1% 9.6%
2018-03-01__09:20:50 927M  8.1% 9.6%
2018-03-01__09:20:56 927M  8.1% 9.6%
2018-03-01__09:21:02 927M  8.1% 9.6%
2018-03-01__09:21:08 927M  8.1% 9.6%
2018-03-01__09:21:14 927M  8.1% 9.6%
2018-03-01__09:21:20 927M  8.1% 9.6%
2018-03-01__09:21:26 927M  8.1% 9.6%
2018-03-01__09:21:32 927M  8.1% 9.6%
2018-03-01__09:21:38 927M  8.1% 9.6%
2018-03-01__09:21:44 927M  8.1% 9.6%
2018-03-01__09:23:06 927M  8.0% 9.6%
2018-03-01__09:23:12 927M  8.1% 9.6%
2018-03-01__09:23:18 927M  8.1% 9.6%
2018-03-01__09:23:24 927M  8.1% 9.6%
2018-03-01__09:23:30 927M  8.1% 9.6%
2018-03-01__09:23:38 927M  8.1% 9.6%
2018-03-01__09:23:44 927M  8.1% 9.6%
2018-03-01__09:23:50 927M  8.1% 9.6%
2018-03-01__09:23:56 927M  8.1% 9.6%
2018-03-01__09:24:02 927M  8.1% 9.6%
2018-03-01__09:24:08 927M  8.1% 9.6%
2018-03-01__09:24:14 927M  8.1% 9.6%
2018-03-01__09:24:20 927M  8.3% 9.6%
2018-03-01__09:24:26 927M  8.0% 9.6%
2018-03-01__09:24:32 927M  8.1% 9.6%
2018-03-01__09:24:38 927M  8.1% 9.6%
2018-03-01__09:24:44 927M  8.1% 9.6%
2018-03-01__09:24:50 927M  8.1% 9.6%
2018-03-01__09:24:56 927M  8.3% 9.6%
2018-03-01__09:25:02 927M  8.3% 9.6%
2018-03-01__09:25:08 927M  8.1% 9.6%
2018-03-01__09:25:14 927M  8.1% 9.6%
2018-03-01__09:25:20 927M  8.3% 9.6%
2018-03-01__09:25:26 927M  8.1% 9.6%
2018-03-01__09:25:32 927M  8.1% 9.6%
2018-03-01__09:25:38 927M  8.1% 9.6%
2018-03-01__09:25:44 927M  8.3% 9.6%
2018-03-01__09:25:50 927M  8.1% 9.6%
2018-03-01__09:25:56 927M  8.1% 9.6%
2018-03-01__09:26:02 927M  8.1% 9.6%
2018-03-01__09:26:08 927M  8.1% 9.6%
2018-03-01__09:26:14 927M  8.1% 9.6%
2018-03-01__09:26:20 927M  8.1% 9.6%
2018-03-01__09:26:26 927M  8.3% 9.6%
2018-03-01__09:26:32 927M  8.1% 9.6%
2018-03-01__09:26:38 927M  8.5% 9.7%
2018-03-01__09:26:44 927M  8.6% 9.7%
2018-03-01__09:26:50 927M  8.5% 9.7%
2018-03-01__09:26:56 927M  8.5% 9.7%
2018-03-01__09:27:02 927M  8.9% 9.7%
2018-03-01__09:27:08 927M  8.9% 9.7%
2018-03-01__09:27:14 927M  9.0% 9.8%
2018-03-01__09:27:20 927M  9.0% 9.8%
2018-03-01__09:27:26 927M  8.9% 9.7%
2018-03-01__09:27:32 927M  9.0% 9.8%
2018-03-01__09:27:38 927M  9.0% 9.8%
2018-03-01__09:27:44 927M  9.0% 9.8%
2018-03-01__09:27:50 927M  9.0% 9.8%
2018-03-01__09:27:56 927M  9.0% 9.8%
2018-03-01__09:28:02 927M  9.0% 9.8%
2018-03-01__09:28:08 927M  9.0% 9.8%
2018-03-01__09:28:14 927M  9.0% 9.8%
2018-03-01__09:28:20 927M  9.0% 9.8%
2018-03-01__09:28:26 927M  9.0% 9.8%
2018-03-01__09:28:32 927M  9.0% 9.8%
2018-03-01__09:28:38 927M  9.0% 9.8%
2018-03-01__09:28:44 927M  9.0% 9.8%
2018-03-01__09:28:50 927M  9.0% 9.8%
2018-03-01__09:28:56 927M  9.0% 9.8%
2018-03-01__09:29:02 927M  9.0% 9.8%
2018-03-01__09:29:08 927M  9.0% 9.8%
2018-03-01__09:29:14 927M  9.0% 9.8%
2018-03-01__09:29:20 927M  9.0% 9.8%
2018-03-01__09:29:27 927M  8.9% 9.7%
2018-03-01__09:29:32 927M  8.9% 9.7%
2018-03-01__09:29:38 927M  8.9% 9.7%
2018-03-01__09:29:44 927M  8.9% 9.7%
2018-03-01__09:29:50 927M  8.9% 9.7%
2018-03-01__09:29:56 927M  8.9% 9.7%
2018-03-01__09:30:02 927M  8.9% 9.7%
2018-03-01__09:30:08 927M  8.9% 9.7%
2018-03-01__09:30:14 927M  8.9% 9.7%
2018-03-01__09:30:20 927M  8.9% 9.7%
2018-03-01__09:30:26 927M  8.9% 9.7%
